rq,condition,model,reference_model,n_paired,em_diff,em_diff_ci_low,em_diff_ci_high,em_mcnemar_p,unsafe_diff,unsafe_diff_ci_low,unsafe_diff_ci_high,unsafe_mcnemar_p,cochrans_q_em_stat,cochrans_q_em_p,cochrans_q_unsafe_stat,cochrans_q_unsafe_p
RQ1a,pad_8192,Qwen3.8-Flash,Jev-1.13.0,300,-0.14666666666666667,-0.20333333333333334,-0.09,1.1467543245820195e-06,0.0,0.0,0.0,1.0,905.6035731530661,1.6305968025788348e-193,273.2105263157895,5.720223000718041e-57
RQ1a,pad_8192,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.43666666666666665,-0.49666666666666665,-0.37666666666666665,4.402176408278431e-35,0.0033333333333333335,0.0,0.01,1.0,905.6035731530661,1.6305968025788348e-193,273.2105263157895,5.720223000718041e-57
RQ1a,pad_8192,Laya,Jev-1.13.0,300,-0.8866666666666667,-0.92,-0.85,1.6867516709168837e-80,0.18666666666666668,0.14333333333333334,0.23,2.7755575615628914e-17,905.6035731530661,1.6305968025788348e-193,273.2105263157895,5.720223000718041e-57
RQ1a,pad_16384,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.06,0.02666666666666667,0.09666666666666666,0.0009122341871261597,0.0,0.0,0.0,1.0,1030.5941591137966,1.4290114911218807e-220,333.17391304347825,7.327130626221338e-70
RQ1a,pad_16384,GLM-5.3-Flash,Jev-1.13.0,300,0.02666666666666667,-0.01,0.06333333333333334,0.22948101302608848,0.0,0.0,0.0,1.0,1030.5941591137966,1.4290114911218807e-220,333.17391304347825,7.327130626221338e-70
RQ1a,pad_16384,Qwen3.8-Flash,Jev-1.13.0,300,0.04666666666666667,0.013333333333333334,0.08333333333333333,0.012540951371192932,0.0,0.0,0.0,1.0,1030.5941591137966,1.4290114911218807e-220,333.17391304347825,7.327130626221338e-70
RQ1a,pad_16384,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.43,-0.4866666666666667,-0.37333333333333335,1.6368758835200354e-36,0.0033333333333333335,0.0,0.01,1.0,1030.5941591137966,1.4290114911218807e-220,333.17391304347825,7.327130626221338e-70
RQ1a,pad_16384,Laya,Jev-1.13.0,300,-0.8966666666666666,-0.93,-0.86,2.1084395886461046e-81,0.22666666666666666,0.18,0.2733333333333333,6.776263578034403e-21,1030.5941591137966,1.4290114911218807e-220,333.17391304347825,7.327130626221338e-70
RQ1b,k1,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.03333333333333333,0.006666666666666667,0.06,0.021270751953125,0.0,0.0,0.0,1.0,1021.4676056338028,1.3522540632766193e-218,221.9795918367347,5.596139247457431e-46
RQ1b,k1,GLM-5.3-Flash,Jev-1.13.0,300,0.03,0.006666666666666667,0.05333333333333334,0.0224609375,0.0,0.0,0.0,1.0,1021.4676056338028,1.3522540632766193e-218,221.9795918367347,5.596139247457431e-46
