model,role,rq,condition,n,em,em_ci_low,em_ci_high,macro_field_acc,macro_field_acc_ci_low,macro_field_acc_ci_high,valid_rate,valid_rate_ci_low,valid_rate_ci_high,unsafe_rate,unsafe_rate_ci_low,unsafe_rate_ci_high,spurious_rate,spurious_rate_ci_low,spurious_rate_ci_high,missed_rate,missed_rate_ci_low,missed_rate_ci_high,rq1b_request_em,rq1b_request_em_ci_low,rq1b_request_em_ci_high,rq1b_message_all_correct,seen_top1,seen_top1_ci_low,seen_top1_ci_high,unseen_top1,unseen_top1_ci_low,unseen_top1_ci_high,unsupported_f1,unsupported_f1_ci_low,unsupported_f1_ci_high,latency_p50,latency_p50_ci_low,latency_p50_ci_high,latency_p95,latency_p95_ci_low,latency_p95_ci_high,latency_p99,output_tokens_median,cost_mean_usd_per_call,cost_usd_per_1000_correct,flag_valid_lt_50
Qwen3.5-4B-JSON,reference,RQ1a,pad_8192,300,0.21666666666666667,0.17,0.26666666666666666,0.7141666666666666,0.6916666666666667,0.7366666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.4682352941176471,0.4131417273945296,0.5215311004784688,0.04774193548387097,0.03125,0.06615799906605292,,,,,,,,,,,,,,1.1397573698777705,1.1366939407307655,1.1417209510691464,1.2060034396126866,1.1936309073586018,1.2817443971522153,1.8591211849544194,31.0,,,False
Rule,reference,RQ1a,pad_8192,300,0.06666666666666667,0.04,0.09666666666666666,0.5575,0.5341666666666667,0.5816666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367741935483871,0.5148377548054968,0.5578406169665809,,,,,,,,,,,,,,0.001279978547245264,0.0010311873629689217,0.0013426877558231354,0.0017017414793372154,0.0016952564008533954,0.0017130187712609767,0.00175219121389091,0.0,,,False
Jev-1.13.0,main,RQ1a,pad_16384,300,0.9133333333333333,0.88,0.9433333333333334,0.9775,0.9683333333333334,0.9858333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.05176470588235294,0.031862745098039214,0.07381157635467978,0.0064516129032258064,0.0012706480304955528,0.014138817480719794,,,,,,,,,,,,,,0.4182151253335178,0.41214783350005746,0.4225102080963552,0.5233714391477406,0.5160250599961728,0.550972248101607,1.1984245968703042,181.0,0.0009538817399999999,1.0443960656934306,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_16384,300,0.9733333333333334,0.9533333333333334,0.99,0.9933333333333333,0.9883333333333333,0.9975,1.0,1.0,1.0,0.0,0.0,0.0,0.01647058823529412,0.004784688995215311,0.02926829268292683,0.0012903225806451613,0.0,0.003931847968545216,,,,,,,,,,,,,,0.6383049380965531,0.6241755040828139,0.6585638751275837,1.0226457979995758,0.9332519508432601,1.0474512530025095,1.1833075268007813,25.0,0.00530956764,5.455035246575342,False
GLM-5.3-Flash,main,RQ1a,pad_16384,300,0.94,0.9133333333333333,0.9666666666666667,0.9683333333333334,0.95,0.9841666666666666,0.98,0.9633333333333334,0.9933333333333333,0.0,0.0,0.0,0.007058823529411765,0.0,0.01639344262295082,0.03225806451612903,0.016351687683701526,0.05138339920948617,,,,,,,,,,,,,,1.5883401255123317,1.5154911875724792,1.6445211046375334,3.9388755144551397,3.110552219906825,5.03840342294425,12.753789555560752,26.0,0.0026155818707482995,2.7268832269503545,False
Qwen3.8-Flash,main,RQ1a,pad_16384,300,0.96,0.9366666666666666,0.98,0.99,0.9841666666666666,0.995,1.0,1.0,1.0,0.0,0.0,0.0,0.02823529411764706,0.013953488372093023,0.04488851747699309,0.0,0.0,0.0,,,,,,,,,,,,,,2.9204831458628178,2.844692667014897,2.966464915778488,4.273982024611906,4.058402331452817,4.6680976043455304,5.399593635294584,38.0,0.003237829213333333,3.372738763888889,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_16384,300,0.48333333333333334,0.4266666666666667,0.54,0.8291666666666667,0.8066666666666666,0.8508333333333333,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.09411764705882353,0.06744186046511629,0.12189753895281615,0.15483870967741936,0.1296528074929872,0.18124207858048164,,,,,,,,,,,,,,1.1586490897461772,1.1576321623288095,1.1606345381587744,1.237693425011821,1.2228296293178573,1.2468752866378054,1.2881609836546704,0.0,,,False
Laya,main,RQ1a,pad_16384,300,0.016666666666666666,0.0033333333333333335,0.03333333333333333,0.39166666666666666,0.3641666666666667,0.42,1.0,1.0,1.0,0.22666666666666666,0.18,0.2733333333333333,0.7247058823529412,0.6830985915492958,0.7653793888932526,0.12258064516129032,0.1,0.1448722509702458,,,,,,,,,,,,,,0.13676241203211248,0.13674040511250496,0.13765733852051198,0.1395930411759764,0.13872496783733368,0.1397137593012303,0.14167240591719746,0.0,,,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_16384,300,0.18,0.13666666666666666,0.22666666666666666,0.6941666666666667,0.6708333333333333,0.7175,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.48470588235294115,0.4298845373693244,0.5421686746987951,0.06709677419354838,0.04621309370988447,0.08997429305912596,,,,,,,,,,,,,,1.5496886828914285,1.548604185692966,1.5516970364842564,1.6187422705581411,1.6004719134652987,1.6679636391345416,2.3836606425885036,31.0,,,False
Rule,reference,RQ1a,pad_16384,300,0.06666666666666667,0.04,0.09666666666666666,0.5575,0.5341666666666667,0.5808333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367741935483871,0.5136540962288687,0.5578151386770235,,,,,,,,,,,,,,0.002521708607673645,0.0023611458018422127,0.0027692499570548534,0.003756220359355211,0.003589600138366223,0.006537567032501103,0.010645379284396758,0.0,,,False
