part,cell,model,deployment,n_arrivals,n_supported,primary_metric,strict_completion,strict_ci_low,strict_ci_high,operational_completion,operational_ci_low,operational_ci_high,share_success,share_wrong_or_late,share_queue_expired,share_queue_overflow,share_decision_late,share_decision_timeout,share_invalid_decision,share_unsupported,share_no_feasible_node,share_ocr_returned,share_ocr_error,share_undeployed,share_invalid_labels,share_service_queue_expired,share_service_aborted,share_service_transport_or_integrity_error,share_aborted,share_aborted_before_dispatch,T_p50_completions,T_p50_completions_ci_low,T_p50_completions_ci_high,T_p95_completions,T_p95_completions_ci_low,T_p95_completions_ci_high,T_p99_completions,T_p50_shared,T_p50_shared_ci_low,T_p50_shared_ci_high,T_p95_shared,T_p95_shared_ci_low,T_p95_shared_ci_high,T_p99_shared,n_shared_with_anchor,shared_anchor,cost_usd_known,unknown_cost_calls,usd_per_correct_completion,api_calls,cache_hits,locality_violations,offsite_bytes,false_admissions,correct_rejections,mean_admission_wait_s,mean_decision_s,mean_service_queue_s,mean_transfer_s,mean_execution_s
A,bursty,Laya,self-hosted,300,300,strict,0.116667,0.0766667,0.16,0.743333,0.686667,0.79,0.116667,0.783333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.235475,0.21229,0.258762,0.329285,0.292095,0.380175,0.370509,0.23526,0.22509,0.26444,0.310906,0.25768,0.31966,0.317909,4,SemIf-Qwen3.5-4B,0,0,,300,0,1,,,,0.00200354,0.107854,0.00313214,0.0123042,0.0961719
A,bursty,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.0533333,0,0.13,0.07,0,0.173333,0.0533333,0.0166667,0.766667,0,0.16,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,1.01196,0.99541,1.34185,1.77087,1.48849,1.95783,1.92044,0.99541,0.99541,1.20172,1.78333,1.48849,1.95783,1.92293,15,SemIf-Qwen3.5-4B,0,0,,70,0,0,,,,1.10859,2.70299,0,0.00931933,0.0866286
B,steady_changing_off,Jev-1.13.0,hosted,240,180,operational,0.488889,0.43956,0.533333,0.511111,0.451087,0.564972,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0.34021,0.333829,0.350676,0.421057,0.408602,0.478144,0.513847,0.34021,0.333829,0.350676,0.421057,0.408602,0.478144,0.513847,92,Jev-1.13.0,0.00827362,0,8.99307e-05,240,0,0,0,0,60,0.00243442,0.279908,0.00249179,,0.0651933
B,steady_changing_off,DeepSeek-V4.1-Flash,hosted,240,180,operational,0.4,0.283333,0.513812,0.411111,0.292818,0.52514,0,0,0.1125,0,0.0625,0,0,0,0,0.620833,0,0.204167,0,0,0,0,0,0,0.475612,0.458997,0.526666,1.06774,0.732205,1.48167,1.5334,0.475612,0.458997,0.526666,1.06774,0.732205,1.48167,1.5334,74,Jev-1.13.0,0.0228816,0,0.000309211,213,0,0,0,0,49,0.0540625,0.823859,0.00581721,,0.0647348
B,steady_changing_off,GLM-5.3-Flash,hosted,240,180,operational,0.444444,0.361582,0.516667,0.45,0.366667,0.519553,0,0,0.00833333,0,0.075,0,0,0,0,0.679167,0,0.2375,0,0,0,0,0,0,0.71212,0.655751,0.788364,1.05026,0.937293,1.29019,1.31973,0.71212,0.655751,0.788364,1.05026,0.937293,1.29019,1.31973,81,Jev-1.13.0,0.00947758,0,0.000117007,238,0,0,0,0,57,0.0889736,0.72491,0.00316212,,0.0675501
B,steady_changing_off,Qwen3.8-Flash,hosted,240,180,operational,0.3,0.178771,0.409836,0.316667,0.186813,0.438889,0,0,0.025,0,0.254167,0,0.00416667,0,0.00833333,0.520833,0,0.1875,0,0,0,0,0,0,1.3889,1.34534,1.48071,1.83905,1.70424,1.93757,1.91667,1.3889,1.34534,1.48071,1.83905,1.70424,1.93757,1.91667,57,Jev-1.13.0,0.0123797,1,0.000217188,234,0,0,0,0,45,0.304546,1.49704,0.00151423,,0.0795507
B,steady_changing_off,SemIf-Qwen3.5-4B,self-hosted,240,180,operational,0.111111,0.0333333,0.2,0.15,0.0393258,0.26523,0,0,0.104167,0,0.5625,0,0,0,0.00416667,0.241667,0,0.0875,0,0,0,0,0,0,1.07851,0.915145,1.55899,1.67588,1.55187,1.87562,1.82401,1.07851,0.915145,1.55899,1.67588,1.55187,1.87562,1.82401,27,SemIf-Qwen3.5-4B,0,0,,215,0,0,0,0,20,0.650235,1.82022,3.56457e-05,,0.0732555
B,steady_changing_off,Laya,self-hosted,240,180,operational,0.0444444,0.0222222,0.0662983,0.255556,0.174863,0.344444,0,0,0,0,0,0,0,0.225,0,0.454167,0,0.320833,0,0,0,0,0,0,0.177539,0.164722,0.186862,0.232584,0.216492,0.246756,0.256537,0.184582,0.164722,0.205765,0.237217,0.189279,0.27121,0.264411,17,SemIf-Qwen3.5-4B,0,0,,240,0,0,0,0,60,0.00184078,0.106708,0.00156803,,0.0765378
B,steady_changing_off,Qwen3.5-4B-JSON,self-hosted,240,180,operational,0.0111111,0,0.0333333,0.0111111,0,0.0333333,0,0,0.416667,0,0.55,0,0,0,0,0.025,0,0.00833333,0,0,0,0,0,0,1.03193,1.03193,1.03193,1.15359,1.15359,1.1671,1.1644,1.03193,1.03193,1.03193,1.15359,1.15359,1.1671,1.1644,2,SemIf-Qwen3.5-4B,0,0,,140,0,0,0,0,2,1.30924,3.34967,3.54511e-05,,0.076919
B,steady_changing_on,Jev-1.13.0,hosted,240,180,operational,0.483333,0.433333,0.52809,0.511111,0.451087,0.564972,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0.337634,0.324627,0.350275,0.476184,0.428358,0.671871,0.93462,0.337634,0.324627,0.350275,0.476184,0.428358,0.671871,0.93462,92,Jev-1.13.0,0.00827362,0,8.99307e-05,240,0,0,0,0,60,0.00238388,0.280007,0.00376827,,0.0650612
B,steady_changing_on,DeepSeek-V4.1-Flash,hosted,240,180,operational,0.494444,0.438889,0.547486,0.505556,0.447514,0.559367,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0.480167,0.468533,0.495325,0.694122,0.664008,0.816922,0.92133,0.480167,0.468533,0.495325,0.694122,0.664008,0.816922,0.92133,91,Jev-1.13.0,0.0203642,0,0.000223782,240,0,0,0,0,60,0.00627818,0.470842,0.00412095,,0.0662006
B,steady_changing_on,GLM-5.3-Flash,hosted,240,180,operational,0.444444,0.372865,0.519337,0.45,0.375691,0.524862,0,0,0,0,0.104167,0,0,0,0,0.679167,0,0.216667,0,0,0,0,0,0,0.752279,0.680576,0.819022,1.56981,0.941567,1.89529,1.89872,0.752279,0.680576,0.819022,1.56981,0.941567,1.89529,1.89872,81,Jev-1.13.0,0.00959083,0,0.000118405,240,0,0,0,0,52,0.12065,0.841626,0.00350281,,0.070637
