part,cell,model,anchor,deployment,G_primary,G_primary_ci_low,G_primary_ci_high,G_primary_p,G_operational,G_operational_ci_low,G_operational_ci_high,dT95,dT95_ci_low,dT95_ci_high,dT95_p,dT50,dT50_ci_low,dT50_ci_high,n_shared,h7_eligible
A,topo_20,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.106667,-0.153333,-0.06,9.999e-05,-0.733333,-0.783333,-0.68,-0.606034,-0.606034,-0.606034,0.000153586,-0.606034,-0.606034,-0.606034,1,false
A,topo_20,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.00666667,0,0.02,0.698,0.00333333,0,0.01,0.386449,0.386449,0.386449,0.000153586,0.386449,0.386449,0.386449,1,false
A,topo_40,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0433333,-0.06,-0.0266667,9.999e-05,0.00333333,0,0.01,0.882032,0.512843,1.05129,9.999e-05,0.361759,0.243111,0.538642,282,true
A,topo_40,GLM-5.3-Flash,Jev-1.13.0,hosted,0.923333,0.886667,0.956667,9.999e-05,0.976667,0.943333,1,1.31999,1.23897,1.47186,0.000111869,1.15612,1.04342,1.47079,7,false
A,topo_40,Qwen3.8-Flash,Jev-1.13.0,hosted,0.94,0.92,0.96,9.999e-05,0.993333,0.98,1,1.23573,1.23573,1.2468,0.000153586,1.13605,1.13605,1.13605,2,false
A,topo_40,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.106667,-0.153333,-0.06,9.999e-05,-0.733333,-0.783333,-0.68,-0.597392,-0.597392,-0.597392,0.000153586,-0.597392,-0.597392,-0.597392,1,false
A,topo_40,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.00666667,0,0.02,0.698,0.00666667,0,0.02,0.52032,0.52032,0.52032,0.000153586,0.52032,0.52032,0.52032,1,false
A,reuse_changing_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0133333,-0.0433333,0.0233333,0.4744,0.03,0,0.0666667,0.299731,0.184743,0.480369,9.999e-05,0.139284,0.126132,0.152101,270,true
A,reuse_changing_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0.173333,0.02,0.34,0.0208,0.23,0.0833333,0.39,1.30667,1.13217,1.42063,9.999e-05,0.620782,0.492653,0.958141,217,true
A,reuse_changing_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0.936667,0.913333,0.956667,9.999e-05,0.993333,0.98,1,1.34048,1.34048,1.37576,0.000153586,1.02293,1.02293,1.02293,2,false
A,reuse_changing_on,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.106667,-0.153333,-0.06,9.999e-05,-0.733333,-0.783333,-0.68,-0.588229,-0.588229,-0.588229,0.000153586,-0.588229,-0.588229,-0.588229,1,false
A,reuse_changing_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.00666667,0,0.02,0.698,0.00333333,0,0.01,0.456332,0.456332,0.456332,0.000153586,0.456332,0.456332,0.456332,1,false
A,reuse_repeated_off,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.00333333,0,0.01,0.6942,0.00333333,0,0.01,0.215848,0.116068,0.559473,9.999e-05,0.114854,0.107177,0.127043,299,true
